,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
220,Chawri Bazaar,28.649927,77.229788,Ramlila Ground,28.642031351828596,77.23083436489105,Campground
221,Civil Lines,28.676857,77.22505699999998,moets,28.678014772437493,77.2247389303534,Chinese Restaurant
222,Civil Lines,28.676857,77.22505699999998,Maidens Hotel,28.67437701477759,77.22645211830836,Hotel
223,Civil Lines,28.676857,77.22505699999998,The Embassy,28.676555564617807,77.2249690933671,Indian Restaurant
224,Civil Lines,28.676857,77.22505699999998,1 UP,28.676463415350646,77.22515434619861,Italian Restaurant
225,Civil Lines,28.676857,77.22505699999998,Civil Lines Metro Station,28.677042,77.22492,Light Rail Station
226,Civil Lines,28.676857,77.22505699999998,The Exchange Store,28.67679919227412,77.22518802850038,Convenience Store
227,Civil Lines,28.676857,77.22505699999998,Jain Pan House,28.67784178842725,77.22490172862902,Smoke Shop
228,Civil Lines,28.676857,77.22505699999998,Best Of Asia Village,28.676904,77.225201,Asian Restaurant
229,Civil Lines,28.676857,77.22505699999998,The Lounge,28.675218903882744,77.22730725930253,Café
230,Civil Lines,28.676857,77.22505699999998,Tibetan Market,28.672576677638705,77.2310654430255,Flea Market
231,Civil Lines,28.676857,77.22505699999998,Yamuna,28.671580935691306,77.23223864545793,Lake
232,Dariba Kalan,28.654602,77.233379,Haveli Dharampura,28.65324701401681,77.232309176437,Hotel
233,Dariba Kalan,28.654602,77.233379,Jalebi Wala | जलेबी वाला,28.656177651209596,77.23352648405536,Dessert Shop
234,Dariba Kalan,28.654602,77.233379,Karim's | करीम | کریم (Karim's),28.64949759295152,77.2336908547362,Indian Restaurant
235,Dariba Kalan,28.654602,77.233379,Jama Masjid  |जामा मस्जिद | جامع مسجد (Jama Masjid),28.650135601332995,77.23354094263017,Mosque
236,Dariba Kalan,28.654602,77.233379,Red Fort Archaeological Museum | लाल किला पुरातत्व संग्रहालय (Red Fort Archaeological Museum),28.655964042955148,77.23765543361783,Museum
237,Dariba Kalan,28.654602,77.233379,Parawthe Wale,28.65603318700734,77.23050001546382,Indian Restaurant
238,Dariba Kalan,28.654602,77.233379,Chandni Chowk | चाँदनी चौक (Chandni Chowk),28.656076323925312,77.23073986324933,Market
239,Dariba Kalan,28.654602,77.233379,Haldiram's,28.656288944079645,77.23170543090595,Snack Place
240,Dariba Kalan,28.654602,77.233379,Red Fort | Lal Qila | लाल क़िला | لال قلعہ (Red Fort (Lal Qila)),28.655758930875194,77.2419548034668,Monument / Landmark
241,Dariba Kalan,28.654602,77.233379,Parathe Wali Gali | पराँठे वाली गली,28.65609952896119,77.2304785201278,Market
242,Dariba Kalan,28.654602,77.233379,Al Jawahar | अल जवाहर | امام جواہر,28.649608846249652,77.23355530889293,Indian Restaurant
243,Dariba Kalan,28.654602,77.233379,Babu Ram Paranthe Wale,28.655820126621173,77.23044812679291,Indian Restaurant
244,Dariba Kalan,28.654602,77.233379,Kinari Bazaar | किनारी बाजार,28.6548009358371,77.23301890281758,Flea Market
245,Dariba Kalan,28.654602,77.233379,Nai Sarak | नई सड़क,28.65283927807197,77.22870777607294,Paper / Office Supplies Store
